,doing business as name,address,city_x,state_x,zip_code,license description,business activity id,business activity,application type,date issued,expiration,latitude_x,latitude_y,license_id,active_id,name,review_count,rating,price
477,TANDOOR,2652 n halsted st 1st,CHICAGO,IL,60614,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,06/18/2018,2020-02-15,41.930545529,41.930639899999996,13205,3472,Tandoor Char House,734,4.0,$$
478,HQ BEERCADE II,"213 w institute pl ll, 1",CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/16/2018,2020-02-15,,41.89718,10565,3489,Headquarters Beercade River North,447,4.0,$$
479,DUBLIN BAR & GRILL,1050 n state st,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/09/2018,2020-02-15,41.901867357,41.901776202997,9527,3500,Blue Agave Tequila Bar & Restaurant,552,3.0,$$
480,DUBLIN BAR & GRILL,1050 n state st,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/09/2018,2020-02-15,41.901867357,41.901926,9527,3500,Dublin Bar & Grill,383,3.5,$$
481,BLUE AGAVE,1050 n state st 1st #,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/18/2017,2019-04-15,41.901867357,41.901776202997,4613,7191,Blue Agave Tequila Bar & Restaurant,552,3.0,$$
482,BLUE AGAVE,1050 n state st 1st #,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/18/2017,2019-04-15,41.901867357,41.901926,4613,7191,Dublin Bar & Grill,383,3.5,$$
483,MORTON'S OF CHICAGO,1050 n state st  first,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/02/2017,2019-03-15,41.901867357,41.901776202997,3344,7373,Blue Agave Tequila Bar & Restaurant,552,3.0,$$
484,MORTON'S OF CHICAGO,1050 n state st  first,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/02/2017,2019-03-15,41.901867357,41.901926,3344,7373,Dublin Bar & Grill,383,3.5,$$
485,GAYLORD INDIA RESTAURANT,100 e walton st 1 104,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/22/2018,2020-02-15,41.900096625,41.900246,10660,3507,Doc B's Restaurant + Bar,701,4.5,$$
486,GAYLORD INDIA RESTAURANT,100 e walton st 1 104,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/22/2018,2020-02-15,41.900096625,41.900337,10660,3507,Gaylord Fine Indian Cuisine,412,3.5,$$
487,DOC B'S FRESH KITCHEN,100 e walton st  108,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,08/07/2017,2019-09-15,41.900096625,41.900246,7949,5624,Doc B's Restaurant + Bar,701,4.5,$$
488,DOC B'S FRESH KITCHEN,100 e walton st  108,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,08/07/2017,2019-09-15,41.900096625,41.900337,7949,5624,Gaylord Fine Indian Cuisine,412,3.5,$$
489,HENDRIKX BELGIAN BREAD CRAFTER,100 e walton st 1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/11/2017,2019-03-15,41.900096625,41.900246,5033,7404,Doc B's Restaurant + Bar,701,4.5,$$
